76,4,102,1252,9845,8,8,8,8,7,4K,Four Nines,0,5316979
77,4,86,884,5781,8,8,8,8,6,4K,Four Nines,0,4757297
78,4,70,580,3025,8,8,8,8,5,4K,Four Nines,0,3637933
79,4,54,340,1325,8,8,8,8,4,4K,Four Nines,0,3078251
80,4,38,164,425,8,8,8,8,3,4K,Four Nines,0,1958887
81,4,22,52,69,8,8,8,8,2,4K,Four Nines,0,1399205
82,4,6,4,1,8,8,8,8,1,4K,Four Nines,0,839523
83,4,182,4052,58828,7,7,7,7,0,4K,Four Eights,0,260642
84,4,166,3364,44360,7,7,7,7,12,4K,Four Eights,0,5343161
85,4,150,2740,32480,7,7,7,7,11,4K,Four Eights,0,4821877
86,4,134,2180,22940,7,7,7,7,10,4K,Four Eights,0,4039951
87,4,118,1684,15480,7,7,7,7,9,4K,Four Eights,0,3779309
88,4,102,1252,9844,7,7,7,7,8,4K,Four Eights,0,2997383
89,4,86,884,5777,7,7,7,7,6,4K,Four Eights,0,2215457
90,4,70,580,3025,7,7,7,7,5,4K,Four Eights,0,1694173
91,4,54,340,1325,7,7,7,7,4,4K,Four Eights,0,1433531
92,4,38,164,425,7,7,7,7,3,4K,Four Eights,0,912247
93,4,22,52,69,7,7,7,7,2,4K,Four Eights,0,651605
94,4,6,4,1,7,7,7,7,1,4K,Four Eights,0,390963
95,4,182,4052,58828,6,6,6,6,0,4K,Four Sevens,0,167042
96,4,166,3364,44360,6,6,6,6,12,4K,Four Sevens,0,3424361
97,4,150,2740,32484,6,6,6,6,11,4K,Four Sevens,0,3090277
98,4,134,2180,22940,6,6,6,6,10,4K,Four Sevens,0,2589151
99,4,118,1684,15480,6,6,6,6,9,4K,Four Sevens,0,2422109
100,4,102,1252,9844,6,6,6,6,8,4K,Four Sevens,0,1920983
101,4,86,884,5776,6,6,6,6,7,4K,Four Sevens,0,1586899
102,4,70,580,3021,6,6,6,6,5,4K,Four Sevens,0,1085773
103,4,54,340,1325,6,6,6,6,4,4K,Four Sevens,0,918731
104,4,38,164,425,6,6,6,6,3,4K,Four Sevens,0,584647
105,4,22,52,69,6,6,6,6,2,4K,Four Sevens,0,417605
106,4,6,4,1,6,6,6,6,1,4K,Four Sevens,0,250563
107,4,182,4052,58828,5,5,5,5,0,4K,Four Sixes,0,57122
108,4,166,3364,44360,5,5,5,5,12,4K,Four Sixes,0,1171001
109,4,150,2740,32484,5,5,5,5,11,4K,Four Sixes,0,1056757
110,4,134,2180,22944,5,5,5,5,10,4K,Four Sixes,0,885391
111,4,118,1684,15480,5,5,5,5,9,4K,Four Sixes,0,828269
112,4,102,1252,9844,5,5,5,5,8,4K,Four Sixes,0,656903
113,4,86,884,5776,5,5,5,5,7,4K,Four Sixes,0,542659
114,4,70,580,3020,5,5,5,5,6,4K,Four Sixes,0,485537
115,4,54,340,1321,5,5,5,5,4,4K,Four Sixes,0,314171
116,4,38,164,425,5,5,5,5,3,4K,Four Sixes,0,199927
117,4,22,52,69,5,5,5,5,2,4K,Four Sixes,0,142805
118,4,6,4,1,5,5,5,5,1,4K,Four Sixes,0,85683
119,4,182,4052,58824,4,4,4,4,0,4K,Four Fives,0,29282
120,4,166,3364,44360,4,4,4,4,12,4K,Four Fives,0,600281
121,4,150,2740,32484,4,4,4,4,11,4K,Four Fives,0,541717
122,4,134,2180,22944,4,4,4,4,10,4K,Four Fives,0,453871
123,4,118,1684,15484,4,4,4,4,9,4K,Four Fives,0,424589
124,4,102,1252,9844,4,4,4,4,8,4K,Four Fives,0,336743
125,4,86,884,5776,4,4,4,4,7,4K,Four Fives,0,278179
126,4,70,580,3020,4,4,4,4,6,4K,Four Fives,0,248897
127,4,54,340,1320,4,4,4,4,5,4K,Four Fives,0,190333
128,4,38,164,425,4,4,4,4,3,4K,Four Fives,0,102487
129,4,22,52,69,4,4,4,4,2,4K,Four Fives,0,73205
130,4,6,4,1,4,4,4,4,1,4K,Four Fives,0,43923
131,4,182,4052,58824,3,3,3,3,0,4K,Four Fours,0,4802
132,4,166,3364,44360,3,3,3,3,12,4K,Four Fours,0,98441
133,4,150,2740,32484,3,3,3,3,11,4K,Four Fours,0,88837
134,4,134,2180,22944,3,3,3,3,10,4K,Four Fours,0,74431
135,4,118,1684,15484,3,3,3,3,9,4K,Four Fours,0,69629
136,4,102,1252,9848,3,3,3,3,8,4K,Four Fours,0,55223
137,4,86,884,5776,3,3,3,3,7,4K,Four Fours,0,45619
138,4,70,580,3020,3,3,3,3,6,4K,Four Fours,0,40817
139,4,54,340,1320,3,3,3,3,5,4K,Four Fours,0,31213
140,4,38,164,424,3,3,3,3,4,4K,Four Fours,0,26411
141,4,22,52,69,3,3,3,3,2,4K,Four Fours,0,12005
142,4,6,4,1,3,3,3,3,1,4K,Four Fours,0,7203
143,4,182,4052,58824,2,2,2,2,0,4K,Four Treys,0,1250
144,4,166,3364,44360,2,2,2,2,12,4K,Four Treys,0,25625
145,4,150,2740,32484,2,2,2,2,11,4K,Four Treys,0,23125
146,4,134,2180,22944,2,2,2,2,10,4K,Four Treys,0,19375
147,4,118,1684,15484,2,2,2,2,9,4K,Four Treys,0,18125
148,4,102,1252,9848,2,2,2,2,8,4K,Four Treys,0,14375
149,4,86,884,5780,2,2,2,2,7,4K,Four Treys,0,11875
150,4,70,580,3020,2,2,2,2,6,4K,Four Treys,0,10625
151,4,54,340,1320,2,2,2,2,5,4K,Four Treys,0,8125
152,4,38,164,424,2,2,2,2,4,4K,Four Treys,0,6875
153,4,22,52,68,2,2,2,2,3,4K,Four Treys,0,4375
154,4,6,4,1,2,2,2,2,1,4K,Four Treys,0,1875
155,4,182,4052,58824,1,1,1,1,0,4K,Four Deuces,0,162
156,4,166,3364,44360,1,1,1,1,12,4K,Four Deuces,0,3321
157,4,150,2740,32484,1,1,1,1,11,4K,Four Deuces,0,2997
158,4,134,2180,22944,1,1,1,1,10,4K,Four Deuces,0,2511
159,4,118,1684,15484,1,1,1,1,9,4K,Four Deuces,0,2349
160,4,102,1252,9848,1,1,1,1,8,4K,Four Deuces,0,1863
